"U.S. House margins of victory, 2022",,,,,,,,
District,Votes cast,Winner,Winner votes,Runner-up,Runner-up votes,Margin,Margin (%),Status
Texas' 30th Congressional District,"135,816",Democratic PartyJasmine Crockett,"102,950",Republican PartyJames Rodgers,"28,703","74,247",54.67%,
Texas' 31st Congressional District,"102,690",Republican PartyJohn Carter,"102,690",-,-,-,-,
Texas' 32nd Congressional District,"133,241",Democratic PartyColin Allred,"88,222",Republican PartyAntonio Swad,"45,019","43,203",32.42%,
Texas' 33rd Congressional District,"94,055",Democratic PartyMarc Veasey,"68,428",Republican PartyPatrick Gillespie,"23,535","44,893",47.73%,
Texas' 34th Congressional District,"134,239",Democratic PartyVicente Gonzalez,"70,759",Republican PartyMayra Flores,"59,404","11,355",8.46%,
Texas' 35th Congressional District,"121,659",Democratic PartyGreg Casar,"91,093",Republican PartyDan McQueen,"30,566","60,527",49.75%,
Texas' 36th Congressional District,"167,368",Republican PartyBrian Babin,"117,832",Democratic PartyJon Haire,"49,536","68,296",40.81%,
Texas' 37th Congressional District,"285,357",Democratic PartyLloyd Doggett,"219,149",Republican PartyJenny Garcia Sharon,"59,879","159,270",55.81%,
Texas' 38th Congressional District,"182,438",Republican PartyWesley Hunt,"116,438",Democratic PartyDuncan Klussmann,"63,779","52,659",28.86%,
Texas' 4th Congressional District,"240,043",Republican PartyPat Fallon,"160,730",Democratic PartyIro Omere,"73,794","86,936",36.22%,
Texas' 5th Congressional District,"212,019",Republican PartyLance Gooden,"135,967",Democratic PartyTartisha Hill,"71,755","64,212",30.29%,
Texas' 6th Congressional District,"94,298",Republican PartyJake Ellzey,"94,298",- -,-,-,-,
Texas' 7th Congressional District,"128,724",Democratic PartyLizzie Pannill Fletcher,"82,797",Republican PartyJohnny Teague,"45,927","36,870",28.64%,
Texas' 8th Congressional District,"174,837",Republican PartyMorgan Luttrell,"122,699",Democratic PartyLaura Jones,"50,126","72,573",41.51%,
Texas' 9th Congressional District,"120,213",Democratic PartyAl Green,"92,992",Republican PartyJimmy Leon,"27,221","65,771",54.71%,
Utah's 1st Congressional District,"173,308",Republican PartyBlake Moore,"121,157",Democratic PartyRick Jones,"52,151","69,006",39.82%,
Utah's 2nd Congressional District,"185,209",Republican PartyChris Stewart,"117,490",Democratic PartyNick Mitchell,"56,504","60,986",32.93%,
Utah's 3rd Congressional District,"155,506",Republican PartyJohn Curtis,"104,536",Democratic PartyGlenn Wright,"42,559","61,977",39.86%,
Utah's 4th Congressional District,"151,319",Republican PartyBurgess Owens,"95,143",Democratic PartyDarlene McDonald,"46,918","48,225",31.87%,
Vermont's At-Large Congressional District,"279,431",Democratic PartyBecca Balint,"175,384",Republican PartyLiam Madden,"78,053","97,331",34.83%,
Virginia's 1st Congressional District,"346,934",Republican PartyRob Wittman,"196,920",Democratic PartyHerb Jones,"146,674","50,246",14.48%,
Virginia's 10th Congressional District,"288,691",Democratic PartyJennifer Wexton,"152,557",Republican PartyHung Cao,"135,575","16,982",5.88%,
Virginia's 11th Congressional District,"278,863",Democratic PartyGerry Connolly,"184,593",Republican PartyJames Myles,"93,460","91,133",32.68%,
Virginia's 2nd Congressional District,"291,705",Republican PartyJennifer Kiggans,"151,596",Democratic PartyElaine Luria,"139,675","11,921",4.09%,
Virginia's 3rd Congressional District,"203,908",Democratic PartyBobby Scott,"137,249",Republican PartyTerry Namkung,"66,659","70,590",34.62%,
Virginia's 4th Congressional District,"241,518",Democratic PartyAston Donald McEachin,"154,109",Republican PartyLeon Benjamin,"87,409","66,700",27.62%,
Virginia's 5th Congressional District,"300,770",Republican PartyBob Good,"174,316",Democratic PartyJoshua Throneburg,"126,454","47,862",15.91%,
Virginia's 6th Congressional District,"265,284",Republican PartyBen Cline,"171,580",Democratic PartyJennifer Lewis,"93,704","77,876",29.36%,
Virginia's 7th Congressional District,"269,681",Democratic PartyAbigail Spanberger,"140,120",Republican PartyYesli Vega,"129,561","10,559",3.92%,
Virginia's 8th Congressional District,"257,759",Democratic PartyDon Beyer,"189,195",Republican PartyKarina Lipsman,"64,768","124,427",48.27%,
Virginia's 9th Congressional District,"244,893",Republican PartyMorgan Griffith,"180,041",Democratic PartyTaysha DeVaughan,"64,852","115,189",47.04%,
Washington's 1st Congressional District,"156,659",Democratic PartySuzan DelBene,"99,593",Republican PartyVincent Cavaleri,"56,902","42,691",27.25%,
Washington's 10th Congressional District,"166,453",Democratic PartyMarilyn Strickland,"94,727",Republican PartyKeith Swank,"71,504","23,223",13.95%,
Washington's 2nd Congressional District,"188,200",Democratic PartyRick Larsen,"115,820",Republican PartyDan Matthews,"72,086","43,734",23.24%,
Washington's 3rd Congressional District,"305,450",Democratic PartyMarie Gluesenkamp Perez,"154,169",Republican PartyJoe Kent,"149,548","4,621",1.51%,
Washington's 4th Congressional District,"122,630",Republican PartyDan Newhouse,"82,445",Democratic PartyDoug White,"37,859","44,586",36.36%,
Washington's 5th Congressional District,"191,659",Republican PartyCathy McMorris Rodgers,"113,299",Democratic PartyNatasha Hill,"77,977","35,322",18.43%,
Washington's 6th Congressional District,"218,609",Democratic PartyDerek Kilmer,"135,096",Republican PartyElizabeth Kreiselmaier,"83,314","51,782",23.69%,
Washington's 7th Congressional District,"164,037",Democratic PartyPramila Jayapal,"138,225",Republican PartyCliff Moon,"25,051","113,174",68.99%,
Washington's 8th Congressional District,"254,817",Democratic PartyKim Schrier,"132,862",Republican PartyMatt Larkin,"121,955","10,907",4.28%,
Washington's 9th Congressional District,"118,928",Democratic PartyAdam Smith,"84,458",Republican PartyDoug Basler,"34,222","50,236",42.24%,
West Virginia's 1st Congressional District,"226,117",Republican PartyCarol Miller,"150,859",Democratic PartyLacy Watson,"65,064","85,795",37.94%,
West Virginia's 2nd Congressional District,"242,868",Republican PartyAlex Mooney,"159,379",Democratic PartyBarry Wendell,"83,489","75,890",31.25%,
Wisconsin's 1st Congressional District,"300,597",Republican PartyBryan Steil,"162,562",Democratic PartyAnn Roe,"135,788","26,774",8.91%,
Wisconsin's 2nd Congressional District,"378,198",Democratic PartyMark Pocan,"268,661",Republican PartyErik Olsen,"101,855","166,806",44.11%,
Wisconsin's 3rd Congressional District,"312,286",Republican PartyDerrick Van Orden,"162,492",Democratic PartyBrad Pfaff,"149,794","12,698",4.07%,
Wisconsin's 4th Congressional District,"255,051",Democratic PartyGwen Moore,"192,226",Republican PartyTim Rogers,"57,660","134,566",52.76%,
Wisconsin's 5th Congressional District,"378,276",Republican PartyScott Fitzgerald,"243,718",Democratic PartyMike Van Someren,"134,558","109,160",28.86%,
Wisconsin's 6th Congressional District,"239,571",Republican PartyGlenn Grothman,"239,231",-,340,"238,891",99.72%,
Wisconsin's 7th Congressional District,"338,148",Republican PartyTom Tiffany,"209,269",Democratic PartyRichard Ausman,"128,879","80,390",23.77%,
Wisconsin's 8th Congressional District,"307,812",Republican PartyMike Gallagher,"223,779",IndependentPaul Boucher,"48,717","175,062",56.87%,
Wyoming's At-Large Congressional District,"181,265",Republican PartyHarriet Hageman,"126,487",Democratic PartyLynnette Grey Bull,"41,167","85,320",47.07%,
